Date;Bloomberg Euro Aggregate Corporate Total Return Index EU;Change;% Change;Bloomberg Euro Aggregate Treasury Germany Total Return Index;Change;% Change;Bloomberg Baa Corporate Total Return Index;Change;% Change;Bloomberg Global Treasury Total Return Index;Change;% Change;Bloomberg Global Agg Corporate Total Return Index;Change;% Change;;;;;
30.06.2023;232,635;-1,0307;-0,441100256;211,7223;-1,4258;-0,668924565;888,2367;5,2652;0,596304637;539,3052;-1,6838;-0,311244776;257,3763;2,0609;0,807197686;;;;;
31.05.2023;233,6657;0,3963;0,169889407;213,1481;0,6245;0,293849718;882,9715;-12,8656;-1,436153961;540,989;-12,1405;-2,194874799;255,3154;-4,9311;-1,894780525;;;;;
28.04.2023;233,2694;1,6207;0,699636993;212,5236;0,0469;0,022073008;895,8371;6,7399;0,758061098;553,1295;0,3538;0,064004261;260,2465;3,0399;1,181890356;;;;;
31.03.2023;231,6487;2,2905;0,99865625;212,4767;5,1505;2,484249458;889,0972;23,7213;2,741155606;552,7757;19,6942;3,694406953;257,2066;6,9461;2,775547879;;;;;
28.02.2023;229,3582;-3,362;-1,444653279;207,3262;-5,336;-2,509143609;865,3759;-29,0923;-3,252468897;533,0815;-19,6974;-3,56334151;250,2605;-8,2976;-3,209181998;;;;;
31.01.2023;232,7202;5,058;2,221712695;212,6622;4,3203;2,073658731;894,4682;36,0279;4,196902219;552,7789;16,516;3,079832672;258,5581;9,9584;4,005797272;;;;;
30.12.2022;227,6622;-4,1084;-1,772614818;208,3419;-9,4056;-4,319498502;858,4403;-3,3391;-0,387465748;536,2629;3,8071;0,715007706;248,5997;0,5193;0,209327299;;;;;
30.11.2022;231,7706;6,332;2,808747038;217,7475;4,1857;1,959947893;861,7794;43,1261;5,267932103;532,4558;24,3576;4,793876459;248,0804;12,9589;5,51157593;;;;;
31.10.2022;225,4386;0,2342;0,103994416;213,5618;-1,1547;-0,537778885;818,6533;-6,2088;-0,752707634;508,0982;-3,5159;-0,687217182;235,1215;-0,7639;-0,323843697;;;;;
30.09.2022;225,2044;-7,7384;-3,322017251;214,7165;-8,8261;-3,948285472;824,8621;-45,041;-5,177703126;511,6141;-28,2209;-5,227689942;235,8854;-13,7114;-5,493419787;;;;;
31.08.2022;232,9428;-10,2859;-4,228900619;223,5426;-11,9456;-5,072695787;869,9031;-25,311;-2,827368336;539,835;-23,9997;-4,256513478;249,5968;-9,6452;-3,72053911;;;;;
29.07.2022;243,2287;10,9197;4,700506653;235,4882;10,335;4,590207912;895,2141;28,7695;3,320408483;563,8347;10,3082;1,862277596;259,242;7,0483;2,794796222;;;;;
30.06.2022;232,309;-8,3905;-3,485881774;225,1532;-4,2275;-1,843005972;866,4446;-27,8798;-3,117414665;553,5265;-20,1967;-3,520286438;252,1937;-9,5067;-3,632665445;;;;;
31.05.2022;240,6995;-2,9977;-1,230092098;229,3807;-3,9135;-1,677495626;894,3244;7,3149;0,82466986;573,7232;-0,0447;-0,007790607;261,7004;1,5426;0,592947819;;;;;
29.04.2022;243,6972;-6,8681;-2,741041956;233,2942;-7,4383;-3,089861153;887,0095;-52,7239;-5,61051677;573,7679;-35,5893;-5,840465986;260,1578;-16,1403;-5,841625404;;;;;
31.03.2022;250,5653;-3,0476;-1,20167389;240,7325;-7,0659;-2,851471196;939,7334;-25,0921;-2,600687896;609,3572;-22,4123;-3,547543843;276,2981;-7,0541;-2,48951658;;;;;
28.02.2022;253,6129;-6,5413;-2,514393387;247,7984;-3,0127;-1,201182882;964,8255;-20,6923;-2,099637368;631,7695;-5,7954;-0,908989814;283,3522;-5,9545;-2,058196371;;;;;
31.01.2022;260,1542;-3,4831;-1,32117117;250,8111;-2,7541;-1,086150623;985,5178;-35,2442;-3,45273433;637,5649;-12,2409;-1,8837782;289,3067;-9,2014;-3,082462419;;;;;
