Date;Bloomberg Euro Aggregate Corporate Total Return Index EU;% Change;Bloomberg Euro Aggregate Treasury Germany Total Return Index;% Change
30.06.2023;232,635;-0,441100256;211,7223;-0,668924565
31.05.2023;233,6657;0,169889407;213,1481;0,293849718
28.04.2023;233,2694;0,699636993;212,5236;0,022073008
31.03.2023;231,6487;0,99865625;212,4767;2,484249458
28.02.2023;229,3582;-1,444653279;207,3262;-2,509143609
31.01.2023;232,7202;2,221712695;212,6622;2,073658731
30.12.2022;227,6622;-1,772614818;208,3419;-4,319498502
30.11.2022;231,7706;2,808747038;217,7475;1,959947893
31.10.2022;225,4386;0,103994416;213,5618;-0,537778885
30.09.2022;225,2044;-3,322017251;214,7165;-3,948285472
31.08.2022;232,9428;-4,228900619;223,5426;-5,072695787
29.07.2022;243,2287;4,700506653;235,4882;4,590207912
30.06.2022;232,309;-3,485881774;225,1532;-1,843005972
31.05.2022;240,6995;-1,230092098;229,3807;-1,677495626
29.04.2022;243,6972;-2,741041956;233,2942;-3,089861153
31.03.2022;250,5653;-1,20167389;240,7325;-2,851471196
28.02.2022;253,6129;-2,514393387;247,7984;-1,201182882
31.01.2022;260,1542;-1,32117117;250,8111;-1,086150623
31.12.2021;263,6373;-0,108591909;253,5652;-1,682255166
30.11.2021;263,9239;0,194866873;257,9038;1,931814589
29.10.2021;263,4106;-0,742068258;253,016;0,016365279
30.09.2021;265,3799;-0,644288598;252,9746;-1,457945585
31.08.2021;267,1008;-0,407095498;256,7174;-0,584332425
30.07.2021;268,1926;1,140749797;258,2263;1,96445191
30.06.2021;265,1677;0,413517791;253,2513;0,480757786
31.05.2021;264,0757;-0,13572354;252,0396;-0,132501763
30.04.2021;264,4346;0,016604215;252,374;-0,706848078
31.03.2021;264,3907;0,210510117;254,1706;-0,015223676
26.02.2021;263,8353;-0,774255906;254,2093;-1,977763416
29.01.2021;265,894;-0,117840318;259,3384;-0,461387001
31.12.2020;266,2077;0,166990325;260,5405;-0,022755198
30.11.2020;265,7639;1,026712232;260,5998;-0,540918894
30.10.2020;263,063;0,775633307;262,0171;0,902323683
30.09.2020;261,0383;0,304519804;259,674;1,011539108
31.08.2020;260,2458;0,175140921;257,0736;-1,220746465
31.07.2020;259,7908;1,504690363;260,2506;0,6176226
30.06.2020;255,9397;1,319001234;258,6531;0,30329118
29.05.2020;252,6078;0,173771938;257,871;-1,316892208
30.04.2020;252,1696;3,732175825;261,3122;1,203149738
31.03.2020;243,0968;-6,849791683;258,2056;-1,32625792
28.02.2020;260,9729;-0,400728333;261,6761;1,379420694
31.01.2020;262,0229;1,155933686;258,1156;2,054448154
31.12.2019;259,0287;-0,051666406;252,9195;-1,360873199
29.11.2019;259,1626;-0,250871391;256,4089;-0,399978869
31.10.2019;259,8144;-0,208329492;257,4386;-1,436498863
30.09.2019;260,3568;-0,764514454;261,1906;-1,084436864
30.08.2019;262,3626;0,63693388;264,0541;2,266560496
31.07.2019;260,7021;1,428665914;258,2018;0,961354984
28.06.2019;257,03;1,584252722;255,7432;1,046366402
31.05.2019;253,0215;-0,153939283;253,0949;1,520186117
30.04.2019;253,4116;0,718390519;249,305;-0,570283594
29.03.2019;251,6041;1,389162014;250,7349;1,677918484
28.02.2019;248,1568;0,687406527;246,5972;-0,340285614
31.01.2019;246,4626;1,086444281;247,4392;0,774833253
31.12.2018;243,8137;0,208543716;245,5367;0,536263394
30.11.2018;243,3063;-0,642844163;244,227;0,420139043
31.10.2018;244,8805;-0,181147531;243,2052;0,614971039
28.09.2018;245,3249;-0,286631595;241,7187;-0,853813552
31.08.2018;246,0301;0,012195117;243,8003;0,672581208
31.07.2018;246,0001;0,278210777;242,1715;-0,572126537
29.06.2018;245,3176;-0,045960077;243,565;0,098098726
31.05.2018;245,4304;-0,246183385;243,3263;1,680110419
30.04.2018;246,0361;0,042044023;239,3057;-0,472463803
30.03.2018;245,9327;-0,103620082;240,4417;1,126838757
28.02.2018;246,1878;-0,022660487;237,7625;0,182995531
31.01.2018;246,2436;-0,267876309;237,3282;-1,06044101
29.12.2017;246,905;-0,28617168;239,8719;-0,497322778
30.11.2017;247,6136;-0,17198825;241,0708;-0,074528312
31.10.2017;248,0402;1,104757308;241,2506;0,604081701
29.09.2017;245,3299;-0,202864923;239,802;-0,763058674
31.08.2017;245,8286;0,549439987;241,6459;1,321329707
31.07.2017;244,4853;0,779739952;238,4946;-0,048991771
30.06.2017;242,5937;-0,555240826;238,6115;-1,167009763
31.05.2017;243,9482;0,374633236;241,429;-0,0562168
28.04.2017;243,0377;0,538771127;241,5648;0,078425524
31.03.2017;241,7353;-0,363001616;241,3755;-1,015940348
28.02.2017;242,616;1,204318712;243,8529;1,570629381
