Year;Month;Return, % p.a.
2000;1;1,24
2000;2;1,24
2000;3;1,24
2000;4;1,24
2000;5;1,24
2000;6;1,24
2000;7;1,25
2000;8;1,25
2000;9;1,26
2000;10;1,25
2000;11;1,26
2000;12;1,25
2001;1;1,26
2001;2;1,25
2001;3;1,24
2001;4;1,23
2001;5;1,24
2001;6;1,21
2001;7;1,20
2001;8;1,18
2001;9;1,16
2001;10;1,14
2001;11;1,11
2001;12;1,08
2002;1;1,07
2002;2;1,06
2002;3;1,05
2002;4;1,04
2002;5;1,04
2002;6;1,04
2002;7;1,03
2002;8;1,01
2002;9;1,00
2002;10;0,99
2002;11;0,99
2002;12;0,96
2003;1;2,39
2003;2;2,36
2003;3;2,28
2003;4;2,28
2003;5;2,21
2003;6;2,16
2003;7;2,11
2003;8;2,08
2003;9;2,04
2003;10;2,20
2003;11;2,15
2003;12;2,17
2004;1;2,18
2004;2;2,12
2004;3;2,10
2004;4;2,13
2004;5;2,10
2004;6;2,13
2004;7;2,10
2004;8;2,11
2004;9;2,13
2004;10;2,13
2004;11;2,16
2004;12;2,13
2005;1;2,09
2005;2;2,11
2005;3;2,06
2005;4;2,05
2005;5;2,12
2005;6;2,10
2005;7;2,08
2005;8;1,98
2005;9;2,00
2005;10;1,94
2005;11;2,02
2005;12;1,99
2006;1;2,00
2006;2;2,00
2006;3;1,96
2006;4;1,99
2006;5;1,99
2006;6;2,05
2006;7;2,05
2006;8;2,09
2006;9;2,10
2006;10;2,17
2006;11;2,15
2006;12;2,20
2007;1;2,22
2007;2;2,23
2007;3;2,27
2007;4;2,36
2007;5;2,35
2007;6;2,33
2007;7;2,33
2007;8;2,38
2007;9;2,44
2007;10;2,41
2007;11;2,40
2007;12;2,46
2008;1;2,44
2008;2;2,43
2008;3;2,44
2008;4;2,52
2008;5;2,51
2008;6;2,53
2008;7;2,57
2008;8;2,58
2008;9;2,59
2008;10;2,64
2008;11;2,54
2008;12;2,42
2009;1;2,33
2009;2;2,24
2009;3;2,08
2009;4;1,98
2009;5;1,85
2009;6;1,82
2009;7;1,79
2009;8;1,62
2009;9;1,61
2009;10;1,49
2009;11;1,47
2009;12;1,52
2010;1;1,37
2010;2;1,34
2010;3;1,40
2010;4;1,31
2010;5;1,31
2010;6;1,43
2010;7;1,40
2010;8;1,40
2010;9;1,52
2010;10;1,50
2010;11;1,48
2010;12;1,51
2011;1;1,47
2011;2;1,48
2011;3;1,49
2011;4;1,51
2011;5;1,52
2011;6;1,54
2011;7;1,53
2011;8;1,53
2011;9;1,55
2011;10;1,55
2011;11;1,52
2011;12;1,52
2012;1;1,49
2012;2;1,47
2012;3;1,43
2012;4;1,39
2012;5;1,37
2012;6;1,35
2012;7;1,31
2012;8;1,27
2012;9;1,24
2012;10;1,20
2012;11;1,17
2012;12;1,14
2013;1;1,08
2013;2;1,05
2013;3;1,06
2013;4;1,02
2013;5;1,00
2013;6;0,98
2013;7;0,97
2013;8;0,96
2013;9;0,96
2013;10;0,94
2013;11;0,93
2013;12;0,91
2014;1;0,89
2014;2;0,89
2014;3;0,84
2014;4;0,84
2014;5;0,82
2014;6;0,80
2014;7;0,76
2014;8;0,72
2014;9;0,70
2014;10;0,66
2014;11;0,63
2014;12;0,61
2015;1;0,58
2015;2;0,54
2015;3;0,51
2015;4;0,48
2015;5;0,47
2015;6;0,46
2015;7;0,44
2015;8;0,43
2015;9;0,42
2015;10;0,41
2015;11;0,40
2015;12;0,39
2016;1;0,37
2016;2;0,36
2016;3;0,34
2016;4;0,32
2016;5;0,31
2016;6;0,30
2016;7;0,28
2016;8;0,27
2016;9;0,26
2016;10;0,25
2016;11;0,24
2016;12;0,24
2017;1;0,23
2017;2;0,22
2017;3;0,21
2017;4;0,21
2017;5;0,21
2017;6;0,21
2017;7;0,20
2017;8;0,19
2017;9;0,19
2017;10;0,19
2017;11;0,18
2017;12;0,18
2018;1;0,18
2018;2;0,17
2018;3;0,17
2018;4;0,17
2018;5;0,16
2018;6;0,16
2018;7;0,16
2018;8;0,15
2018;9;0,15
2018;10;0,15
2018;11;0,15
2018;12;0,14
2019;1;0,14
2019;2;0,13
2019;3;0,13
2019;4;0,14
2019;5;0,13
2019;6;0,13
2019;7;0,13
2019;8;0,12
2019;9;0,12
2019;10;0,12
2019;11;0,12
2019;12;0,12
2020;1;0,11
2020;2;0,11
2020;3;0,11
2020;4;0,11
2020;5;0,11
2020;6;0,11
2020;7;0,10
2020;8;0,10
2020;9;0,10
2020;10;0,10
2020;11;0,10
2020;12;0,10
2021;1;0,10
2021;2;0,09
2021;3;0,09
2021;4;0,09
2021;5;0,09
2021;6;0,09
2021;7;0,08
2021;8;0,08
2021;9;0,08
2021;10;0,08
2021;11;0,08
2021;12;0,08
2022;1;0,08
2022;2;0,07
2022;3;0,07
2022;4;0,07
2022;5;0,07
2022;6;0,08
2022;7;0,07
2022;8;0,08
2022;9;0,09
2022;10;0,11
2022;11;0,13
2022;12;0,16
2023;1;0,20
2023;2;0,26
2023;3;0,30
