;PIMCO GIS Income E Cl EUR Hgd Inc;M&G Optimal Income EUR A-H Gross Acc (Hedged);Carmignac Patrimoine A EUR acc;DWS Top Dividende LD;Nordea 1 - Stable Return BP EUR;PrivatFonds: Kontrolliert;Flossbach von Storch - Multiple Opportunities R;iShares Core DAX UCITS (DE) ETF;DWS Deutschland LC;Allianz Europe Equity Growth AT-EUR
Date;;;;;;;;;;
30-Nov-1989;;;;;;;;;;
31-Dec-1989;;;0,0274;;;;;;;
31-Jan-1990;;;-0,0016;;;;;;;
28-Feb-1990;;;0,0266;;;;;;;
31-Mar-1990;;;0,0409;;;;;;;
30-Apr-1990;;;0,0054;;;;;;;
31-May-1990;;;0,0177;;;;;;;
30-Jun-1990;;;-0,0109;;;;;;;
31-Jul-1990;;;0,0305;;;;;;;
31-Aug-1990;;;-0,0430;;;;;;;
30-Sep-1990;;;-0,0093;;;;;;;
31-Oct-1990;;;-0,0388;;;;;;;
30-Nov-1990;;;-0,0068;;;;;;;
31-Dec-1990;;;-0,0006;;;;;;;
31-Jan-1991;;;0,0294;;;;;;;
28-Feb-1991;;;0,0711;;;;;;;
31-Mar-1991;;;0,0237;;;;;;;
30-Apr-1991;;;0,0224;;;;;;;
31-May-1991;;;-0,0005;;;;;;;
30-Jun-1991;;;-0,0173;;;;;;;
31-Jul-1991;;;0,0109;;;;;;;
31-Aug-1991;;;-0,0046;;;;;;;
30-Sep-1991;;;-0,0183;;;;;;;
31-Oct-1991;;;-0,0013;;;;;;;
30-Nov-1991;;;-0,0113;;;;;;;
31-Dec-1991;;;0,0140;;;;;;;
31-Jan-1992;;;0,0448;;;;;;;
29-Feb-1992;;;0,0221;;;;;;;
31-Mar-1992;;;0,0053;;;;;;;
30-Apr-1992;;;0,0210;;;;;;;
31-May-1992;;;0,0027;;;;;;;
30-Jun-1992;;;-0,0501;;;;;;;
31-Jul-1992;;;-0,0212;;;;;;;
31-Aug-1992;;;0,0051;;;;;;;
30-Sep-1992;;;0,0761;;;;;;;
31-Oct-1992;;;0,0111;;;;;;;
30-Nov-1992;;;0,0339;;;;;;;
31-Dec-1992;;;0,0176;;;;;;;
31-Jan-1993;;;0,0364;;;;;;;
28-Feb-1993;;;0,0464;;;;;;;
31-Mar-1993;;;-0,0083;;;;;;;
30-Apr-1993;;;0,0147;;;;;;;
31-May-1993;;;0,0230;;;;;;;
30-Jun-1993;;;0,0385;;;;;;;
31-Jul-1993;;;0,0577;;;;;;;
31-Aug-1993;;;0,0060;;;;;;;
30-Sep-1993;;;-0,0135;;;;;;;
31-Oct-1993;;;0,0662;;;;;;;
30-Nov-1993;;;0,0157;;;;;;-0,0018;
31-Dec-1993;;;0,0761;;;;;;0,0692;
31-Jan-1994;;;-0,0070;;;;;;-0,0200;
28-Feb-1994;;;-0,0333;;;;;;-0,0156;
31-Mar-1994;;;-0,0445;;;;;;0,0279;
30-Apr-1994;;;-0,0038;;;;;;0,0632;
31-May-1994;;;-0,0071;;;;;;-0,0526;
30-Jun-1994;;;-0,0421;;;;;;-0,0204;
31-Jul-1994;;;0,0217;;;;;;0,0426;
31-Aug-1994;;;0,0090;;;;;;0,0266;
30-Sep-1994;;;-0,0259;;;;;;-0,0612;
31-Oct-1994;;;-0,0125;;;;;;0,0204;
30-Nov-1994;;;-0,0058;;;;;;-0,0256;
31-Dec-1994;;;-0,0243;;;;;;0,0267;
31-Jan-1995;;;-0,0417;;;;;;-0,0243;
28-Feb-1995;;;-0,0198;;;;;;0,0576;
31-Mar-1995;;;-0,0164;;;;;;-0,0740;
30-Apr-1995;;;-0,0104;;;;;;0,0526;
31-May-1995;;;0,0390;;;;;;0,0409;
30-Jun-1995;;;0,0270;;;;;;0,0157;
31-Jul-1995;;;0,0361;;;;;;0,0500;
31-Aug-1995;;;0,0372;;;;;;-0,0007;
30-Sep-1995;;;-0,0203;;;;;;-0,0040;
31-Oct-1995;;;-0,0075;;;;;;-0,0136;
30-Nov-1995;;;0,0181;;;;;;0,0012;
31-Dec-1995;;;0,0113;;;;;;0,0297;
31-Jan-1996;;;0,0872;;;;;;0,0838;
29-Feb-1996;;;-0,0134;;;;;;-0,0052;
31-Mar-1996;;;-0,0064;;;;;;0,0043;
30-Apr-1996;;;0,0264;;;;;;-0,0136;
31-May-1996;;;0,0111;;;;;;0,0444;
30-Jun-1996;;;-0,0075;;;;;;0,0243;
31-Jul-1996;;;-0,0525;;;;;;-0,0366;
31-Aug-1996;;;-0,0013;;;;;;0,0382;
30-Sep-1996;;;0,0264;;;;;;0,0241;
31-Oct-1996;;;0,0086;;;;;;-0,0114;
30-Nov-1996;;;0,0480;;;;;;0,0321;
31-Dec-1996;;;0,0081;;;;;;0,0210;
31-Jan-1997;;;0,0391;;;;;;0,0521;
28-Feb-1997;;;-0,0036;;;;;;0,0675;
31-Mar-1997;;;-0,0275;;;;;;0,0511;
30-Apr-1997;;;0,0065;;;;;;0,0101;
31-May-1997;;;0,0413;;;;;;0,0481;
30-Jun-1997;;;0,0461;;;;;;0,0626;
31-Jul-1997;;;0,0650;;;;;;0,1086;
31-Aug-1997;;;-0,0185;;;;;;-0,1015;
30-Sep-1997;;;0,0163;;;;;;0,0577;
31-Oct-1997;;;-0,0484;;;;;;-0,0825;
30-Nov-1997;;;-0,0184;;;;;;0,0203;
31-Dec-1997;;;-0,0022;;;;;;0,0402;
31-Jan-1998;;;-0,0187;;;;;;0,0585;
28-Feb-1998;;;0,0542;;;;;;0,0540;
31-Mar-1998;;;0,0227;;;;;;0,0703;
30-Apr-1998;;;-0,0062;;;;;;0,0154;
31-May-1998;;;-0,0254;;;;;;0,0932;
30-Jun-1998;;;-0,0048;;;;;;0,0265;
31-Jul-1998;;;-0,0093;;;;;;0,0048;
31-Aug-1998;;;-0,0371;;;;;;-0,1708;
30-Sep-1998;;;0,0004;;;;;;-0,0959;
31-Oct-1998;;;0,0441;;;;;;0,0309;
30-Nov-1998;;;0,0497;;;;;;0,0838;
31-Dec-1998;;;0,0223;;;;;;-0,0171;
31-Jan-1999;;;-0,0041;;;;;;-0,0186;
28-Feb-1999;;;-0,0070;;;;;;-0,0184;
31-Mar-1999;;;0,0502;;;;;;-0,0097;
30-Apr-1999;;;0,0388;;;;;;0,0950;
31-May-1999;;;0,0296;;;;;;-0,0479;
30-Jun-1999;;;0,0765;;;;;;0,0862;
31-Jul-1999;;;-0,0138;;;;;;-0,0340;
31-Aug-1999;;;0,0279;;;;;;0,0218;
30-Sep-1999;;;-0,0309;;;;;;-0,0416;
31-Oct-1999;;;0,0123;;;;;;0,0422;
30-Nov-1999;;;0,0519;;;;;;0,0365;
31-Dec-1999;;;0,0571;;;;;;0,1654;
31-Jan-2000;;;0,0161;;;;;;0,0355;
29-Feb-2000;;;0,0390;;;;;;0,1242;
31-Mar-2000;;;0,0181;;;;;;-0,0332;
30-Apr-2000;;;-0,0152;;;;;;0,0081;
31-May-2000;;;-0,0437;;;;;;-0,0349;
30-Jun-2000;;;0,0574;;;;;;-0,0234;
31-Jul-2000;;;0,0097;;;;;;0,0622;
31-Aug-2000;;;0,0765;;;;;;0,0231;
30-Sep-2000;;;-0,0115;;;;;;-0,0403;
31-Oct-2000;;;0,0008;;;;;;-0,0055;
30-Nov-2000;;;-0,0324;;;;;;-0,1406;
31-Dec-2000;;;0,0312;;;;;0,0211;0,0008;
31-Jan-2001;;;0,0038;;;;;0,0490;0,0347;
