"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2023","12,875.77","13,395.19","13,410.40","12,511.54","","-3.90%"
"08/01/2023","13,398.80","13,725.29","13,725.29","12,889.43","","-2.52%"
"07/01/2023","13,745.12","13,462.34","13,815.79","13,031.81","","2.57%"
"06/01/2023","13,401.24","13,178.63","13,739.90","13,093.27","","2.19%"
"05/01/2023","13,113.72","13,830.38","13,880.68","13,098.71","","-5.03%"
"04/01/2023","13,807.75","13,171.10","13,828.17","12,897.94","","4.96%"
"03/01/2023","13,155.25","13,437.98","13,724.45","12,370.17","","-1.70%"
"02/01/2023","13,382.67","13,113.48","13,613.83","13,100.82","","2.44%"
"01/01/2023","13,063.63","11,980.54","13,501.43","11,980.54","","9.54%"
"12/01/2022","11,925.70","12,574.90","12,703.49","11,671.37","","-3.69%"
"11/01/2022","12,382.96","11,385.51","12,649.32","11,088.67","","9.74%"
"10/01/2022","11,283.67","10,449.29","11,460.75","10,102.75","","7.23%"
"09/01/2022","10,522.69","11,783.04","12,178.39","10,188.18","","-11.31%"
"08/01/2022","11,864.53","12,860.37","13,288.37","11,818.17","","-7.39%"
"07/01/2022","12,811.49","11,797.65","12,848.53","11,525.90","","7.83%"
"06/01/2022","11,881.19","13,858.45","14,027.86","11,688.84","","-13.83%"
"05/01/2022","13,787.91","13,744.25","13,976.31","12,463.97","","-0.28%"
"04/01/2022","13,826.69","14,279.67","14,809.87","13,527.32","","-2.96%"
"03/01/2022","14,248.00","14,478.65","14,948.33","12,403.95","","-1.57%"
"02/01/2022","14,474.53","15,235.95","15,534.29","13,414.33","","-4.21%"
"01/01/2022","15,111.43","16,484.41","16,829.89","14,398.64","","-7.94%"
"12/01/2021","16,414.67","16,270.81","16,731.57","15,632.65","","1.15%"
"11/01/2021","16,227.87","17,141.11","17,450.14","16,148.76","","-4.74%"
"10/01/2021","17,034.46","16,302.15","17,166.70","15,765.82","","3.18%"
"09/01/2021","16,509.33","17,161.33","17,312.09","16,357.12","","-3.32%"
"08/01/2021","17,076.14","16,602.23","17,272.30","16,462.22","","3.30%"
"07/01/2021","16,531.16","16,092.93","16,566.87","15,540.61","","3.18%"
"06/01/2021","16,021.03","16,372.93","16,530.88","15,824.30","","-1.77%"
"05/01/2021","16,310.03","16,190.21","16,381.67","15,160.46","","0.92%"
"04/01/2021","16,161.06","15,508.16","16,484.07","15,506.59","","4.62%"
"03/01/2021","15,447.68","15,320.82","15,567.07","14,683.48","","2.24%"
"02/01/2021","15,109.96","15,286.64","15,872.83","14,702.13","","-0.66%"
"01/01/2021","15,210.34","14,884.31","15,739.53","14,726.63","","3.02%"
"12/01/2020","14,764.89","13,828.44","14,809.80","13,803.57","","7.13%"
"11/01/2020","13,782.19","11,679.64","13,933.36","11,653.72","","18.60%"
"10/01/2020","11,620.75","12,544.55","12,982.32","11,368.58","","-6.94%"
"09/01/2020","12,487.57","12,654.68","12,755.05","11,840.21","","-0.86%"
"08/01/2020","12,595.47","11,791.82","12,842.79","11,771.86","","7.22%"
"07/01/2020","11,747.77","11,551.81","12,548.46","11,443.65","","1.84%"
"06/01/2020","11,535.83","11,550.21","12,252.57","11,005.20","","1.64%"
"05/01/2020","11,349.72","10,160.67","11,582.15","9,983.63","","9.63%"
"04/01/2020","10,352.94","9,130.68","10,661.10","8,874.30","","11.95%"
"03/01/2020","9,248.01","11,510.08","11,778.93","7,841.39","","-18.38%"
"02/01/2020","11,330.82","12,265.77","13,088.65","11,077.81","","-7.51%"
"01/01/2020","12,251.36","12,546.40","12,665.46","12,226.68","","-2.08%"
"12/01/2019","12,511.89","12,205.44","12,596.83","11,894.06","","2.91%"
"11/01/2019","12,158.51","11,487.31","12,203.13","11,472.65","","6.32%"
"10/01/2019","11,435.48","11,049.84","11,595.33","10,754.48","","3.71%"
"09/01/2019","11,026.82","10,819.11","11,368.16","10,649.20","","2.06%"
"08/01/2019","10,804.36","11,136.86","11,198.21","10,077.81","","-2.99%"
"07/01/2019","11,136.80","11,517.36","11,577.95","10,796.76","","-2.12%"
"06/01/2019","11,377.70","10,797.19","11,377.70","10,677.43","","5.11%"
"05/01/2019","10,824.15","11,775.62","11,775.62","10,711.74","","-7.90%"
"04/01/2019","11,753.15","10,972.03","11,779.64","10,972.03","","7.51%"
"03/01/2019","10,932.26","10,864.41","11,075.95","10,589.94","","1.18%"
"02/01/2019","10,804.85","10,604.62","10,944.27","10,293.24","","2.40%"
"01/01/2019","10,551.98","9,510.00","10,637.03","9,335.55","","10.97%"
"12/01/2018","9,509.15","10,648.36","10,741.83","9,263.81","","-9.39%"
"11/01/2018","10,494.57","11,037.90","11,447.59","10,105.40","","-4.88%"
"10/01/2018","11,032.56","11,887.75","12,001.30","10,401.39","","-7.00%"
"09/01/2018","11,863.50","12,513.50","12,520.81","11,831.18","","-5.24%"
"08/01/2018","12,519.36","12,427.55","12,641.15","12,026.81","","0.90%"
"07/01/2018","12,407.24","11,912.47","12,426.58","11,848.53","","3.83%"
"06/01/2018","11,949.64","12,476.06","12,749.38","11,855.32","","-4.02%"
"05/01/2018","12,449.70","12,286.31","12,685.70","12,286.31","","1.44%"
"04/01/2018","12,272.64","11,887.55","12,395.69","11,672.95","","2.89%"
"03/01/2018","11,927.92","12,102.16","12,264.48","11,676.74","","-1.74%"
"02/01/2018","12,139.49","12,374.39","12,405.28","11,506.92","","-1.57%"
"01/01/2018","12,333.05","11,885.53","12,639.82","11,822.82","","3.75%"
"12/01/2017","11,886.85","11,813.18","11,902.93","11,628.39","","0.68%"
"11/01/2017","11,806.72","11,988.62","12,141.54","11,535.18","","-1.30%"
"10/01/2017","11,961.92","11,944.21","12,131.80","11,793.02","","0.44%"
"09/01/2017","11,909.93","11,418.74","11,909.93","11,376.28","","4.46%"
"08/01/2017","11,401.24","11,100.44","11,459.43","11,067.30","","2.84%"
"07/01/2017","11,086.54","10,866.26","11,217.74","10,747.70","","2.21%"
"06/01/2017","10,846.67","11,132.04","11,337.69","10,769.79","","-2.37%"
"05/01/2017","11,110.22","10,693.79","11,160.66","10,642.10","","4.07%"
"04/01/2017","10,675.96","10,113.22","10,704.43","10,061.42","","5.78%"
"03/01/2017","10,092.59","10,055.36","10,131.88","9,862.09","","0.64%"
"02/01/2017","10,028.67","9,770.40","10,193.08","9,680.92","","2.94%"
"01/01/2017","9,742.61","9,519.73","9,908.12","9,513.43","","2.34%"
"12/01/2016","9,519.43","9,009.76","9,533.22","8,925.21","","5.51%"
"11/01/2016","9,022.35","9,354.44","9,354.44","8,816.40","","-3.28%"
"10/01/2016","9,328.07","9,282.79","9,445.64","9,205.71","","0.48%"
"09/01/2016","9,283.96","9,346.90","9,488.81","9,145.11","","-0.70%"
"08/01/2016","9,349.45","9,395.48","9,539.66","9,187.73","","-0.13%"
"07/01/2016","9,361.76","8,815.04","9,361.76","8,456.24","","6.60%"
"06/01/2016","8,782.23","9,377.52","9,484.44","8,413.57","","-6.25%"
"05/01/2016","9,367.42","8,817.72","9,368.02","8,648.33","","6.55%"
"04/01/2016","8,791.30","8,792.91","8,902.67","8,598.28","","-0.21%"
"03/01/2016","8,809.75","8,380.35","8,873.11","8,312.01","","5.32%"
"02/01/2016","8,364.39","8,426.67","8,426.67","7,503.96","","-0.09%"
"01/01/2016","8,372.08","9,039.85","9,039.85","7,945.76","","-7.98%"
"12/01/2015","9,098.57","9,056.07","9,155.96","8,605.19","","0.72%"
"11/01/2015","9,033.28","8,896.34","9,033.28","8,589.19","","1.58%"
"10/01/2015","8,892.73","8,353.35","8,933.00","8,299.60","","7.01%"
"09/01/2015","8,310.02","8,617.32","8,827.43","8,042.22","","-4.11%"
"08/01/2015","8,666.10","8,974.19","9,182.95","7,861.85","","-3.29%"
"07/01/2015","8,960.52","8,619.53","9,172.82","8,457.42","","4.46%"
"06/01/2015","8,577.73","8,775.67","8,881.13","8,334.30","","-1.90%"
"05/01/2015","8,744.16","8,461.12","8,925.15","8,239.65","","3.80%"
"04/01/2015","8,423.96","8,408.13","8,909.37","8,397.69","","0.08%"
"03/01/2015","8,417.23","8,158.35","8,481.13","7,970.37","","3.28%"
"02/01/2015","8,149.65","7,662.84","8,150.59","7,662.84","","6.50%"
"01/01/2015","7,652.23","7,199.13","7,661.49","7,126.53","","6.48%"
"12/01/2014","7,186.21","7,074.15","7,231.38","6,814.04","","1.61%"
"11/01/2014","7,072.23","6,671.51","7,073.16","6,667.83","","6.12%"
"10/01/2014","6,664.34","6,853.79","6,872.98","6,087.64","","-2.75%"
"09/01/2014","6,852.82","7,021.12","7,105.67","6,794.97","","-2.30%"
"08/01/2014","7,013.86","7,028.18","7,112.53","6,711.62","","-0.36%"
"07/01/2014","7,039.00","7,404.63","7,520.02","7,035.32","","-4.69%"
"06/01/2014","7,385.32","7,491.36","7,572.66","7,319.33","","-0.99%"
"05/01/2014","7,459.32","7,165.30","7,479.97","7,105.50","","4.20%"
"04/01/2014","7,158.97","7,181.52","7,285.06","6,900.13","","-0.14%"
"03/01/2014","7,168.97","7,192.96","7,239.91","6,813.50","","-1.30%"
"02/01/2014","7,263.15","7,036.11","7,281.83","6,863.02","","3.26%"
"01/01/2014","7,033.97","6,812.51","7,262.80","6,797.62","","3.61%"
"12/01/2013","6,788.79","6,852.97","6,867.97","6,661.11","","-0.87%"
"11/01/2013","6,848.22","6,673.32","6,862.61","6,639.19","","2.74%"
"10/01/2013","6,665.81","6,387.45","6,728.95","6,386.52","","4.27%"
"09/01/2013","6,392.90","6,148.57","6,431.38","6,148.57","","4.25%"
"08/01/2013","6,132.05","5,999.14","6,251.52","5,998.55","","2.59%"
"07/01/2013","5,977.44","5,805.44","5,982.38","5,743.57","","3.15%"
"06/01/2013","5,795.18","6,068.68","6,073.38","5,557.15","","-4.76%"
"05/01/2013","6,084.65","5,833.63","6,121.09","5,805.01","","4.25%"
"04/01/2013","5,836.40","5,713.11","5,841.23","5,558.56","","2.43%"
"03/01/2013","5,697.88","6,019.05","6,075.07","5,697.88","","-5.25%"
"02/01/2013","6,013.32","5,774.25","6,045.92","5,744.93","","4.24%"
"01/01/2013","5,768.74","5,275.79","5,842.88","5,275.79","","9.89%"
"12/01/2012","5,249.35","5,122.38","5,303.55","5,098.98","","2.81%"
"11/01/2012","5,105.88","5,046.12","5,112.31","4,870.50","","1.27%"
"10/01/2012","5,041.86","5,009.71","5,139.10","4,981.02","","0.75%"
"09/01/2012","5,004.14","4,907.67","5,089.39","4,854.83","","2.32%"
"08/01/2012","4,890.45","4,907.49","5,040.79","4,840.18","","-0.47%"
"07/01/2012","4,913.76","4,815.99","4,991.15","4,789.46","","2.28%"
"06/01/2012","4,804.29","4,818.97","4,879.07","4,587.72","","-0.40%"
"05/01/2012","4,823.45","5,219.32","5,230.09","4,760.09","","-7.27%"
"04/01/2012","5,201.78","5,231.64","5,238.70","4,961.01","","-0.37%"
"03/01/2012","5,220.98","5,132.83","5,257.70","4,911.85","","1.58%"
"02/01/2012","5,139.90","4,733.63","5,147.82","4,733.63","","8.64%"
"01/01/2012","4,731.07","4,417.17","4,757.52","4,385.33","","7.00%"
"12/01/2011","4,421.44","4,425.51","4,489.56","4,228.97","","-0.01%"
"11/01/2011","4,421.77","4,546.14","4,615.13","4,163.92","","-4.11%"
"10/01/2011","4,611.25","4,263.64","4,693.94","4,108.02","","6.97%"
"09/01/2011","4,310.89","4,575.83","4,575.83","4,134.04","","-5.38%"
"08/01/2011","4,555.97","5,335.92","5,382.81","4,115.08","","-13.91%"
"07/01/2011","5,292.20","5,420.77","5,633.70","5,256.33","","-2.30%"
"06/01/2011","5,416.54","5,453.89","5,487.41","5,217.32","","-0.55%"
"05/01/2011","5,446.29","5,360.26","5,498.25","5,301.64","","1.83%"
"04/01/2011","5,348.19","5,158.98","5,349.00","5,119.39","","3.97%"
"03/01/2011","5,144.02","5,257.05","5,303.41","4,696.79","","-1.75%"
"02/01/2011","5,235.49","5,162.09","5,361.77","5,067.59","","1.69%"
"01/01/2011","5,148.24","5,176.42","5,289.81","5,100.93","","-0.49%"
"12/01/2010","5,173.79","4,729.07","5,184.59","4,729.07","","9.46%"
"11/01/2010","4,726.48","4,730.36","4,797.13","4,581.13","","0.16%"
"10/01/2010","4,718.82","4,373.86","4,733.26","4,334.47","","7.99%"
"09/01/2010","4,369.76","4,117.57","4,369.76","4,100.71","","6.23%"
"08/01/2010","4,113.62","4,157.81","4,242.73","4,019.36","","-0.90%"
"07/01/2010","4,151.15","3,897.11","4,170.88","3,830.27","","6.32%"
"06/01/2010","3,904.22","3,854.67","4,023.33","3,789.46","","1.28%"
"05/01/2010","3,854.79","3,979.13","4,030.37","3,605.91","","-3.02%"
"04/01/2010","3,974.78","3,900.46","4,126.43","3,885.31","","2.02%"
"03/01/2010","3,895.95","3,667.52","3,912.41","3,664.29","","6.38%"
"02/01/2010","3,662.26","3,660.59","3,713.24","3,538.54","","-0.17%"
"01/01/2010","3,668.51","3,557.19","3,771.34","3,556.98","","3.37%"
