Dec-00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DATE;PRIVATE CAPITAL;NATURAL RESOURCES;REAL ESTATE OPPORTUNISTIC;REAL ESTATE VALUE ADDED;PRIVATE EQUITY;REAL ESTATE;BUYOUT;GROWTH;DISTRESSED PRIVATE EQUITY;FUNDS OF FUNDS;VENTURE;S&P 500 TOTAL RETURN;VENTURE ALL STAGE;VENTURE EARLY STAGE;VENTURE EXPANSION;Buyout - Small;Buyout - Mid;Buyout - Large;Buyout - Mega;MSCI Emerging Markets TR;MSCI Europe Standard TR;MSCI US REIT TR;MSCI World TR;Private Capital - Asia;Private Capital - Europe;Private Capital - North America;Private Debt - Mezzanine;Private Equity excl. VC;Russell 2000 TR;Russell 3000 TR;Secondaries;Private Debt;Private Debt - Distressed Debt
Dec-00;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Mar-01;93,9;93,7;102,4;103,7;92,3;103,1;93,5;91;101;92,2;88,8;89,6;86,1;96,1;84;98,7;91,5;95;92,8;94,6;84,5;99,5;87,2;103,4;96,1;93,3;99,7;93,6;95,4;89,6;93,3;100,6;101,4
Jun-01;93,1;94,1;101,7;106,8;91;104,4;95,2;86,2;104,4;89,2;80;97;75,7;87,1;85,8;99,2;87;98,1;95,4;98,4;83;110,4;89,6;106,3;93,3;92,4;99,2;95,1;108,5;97,8;94,3;102,4;104,7
Sep-01;88;82;101,3;105,2;85;104,6;90,9;80,1;106,8;79,6;69,5;81,7;65;77,5;74,2;92,4;88,1;91,1;92,4;77,1;73;107,5;76,8;109,6;95,7;86,5;98,4;90,7;86,9;81,7;96;103,5;107,3
Dec-01;86,7;83,7;102,8;105,9;83,2;107,2;90,4;75,5;111,2;73,7;64,2;90,7;58,8;71,9;76,6;88;88,6;91,1;91,5;97,6;80,4;112,8;83,5;115,1;98,5;85;94,2;90,2;107,1;91,6;95,6;103,9;112,1
Mar-02;85;84,5;105,3;110,2;80,7;110,1;89,6;72,2;115,7;69,3;58;90,8;53,1;64,9;68,8;85,4;87,7;91,9;90,8;108,8;80,3;122,2;83,8;117;96,9;83,2;94,3;88,9;111;92,5;100;106,7;116,9
Jun-02;82,6;80,8;104,9;109,5;78;110;87,3;68,7;115,1;68,4;53,8;77;50,2;57,3;65,7;87,5;84,4;88;89,3;99,6;76,9;128,1;76,3;117,3;109,9;79,7;92,2;86,9;98,8;78,5;101,5;105,2;115,9
Sep-02;79,2;84,5;105,7;109,8;73;111,6;81,8;67,2;122,6;64,9;49,4;65,1;45,4;53,2;63,6;84,8;80,7;82,6;82,5;83,4;59,4;116,7;62,3;120,5;108;76,1;92,6;81,6;80,3;66,6;96,8;109,2;124,9
Dec-02;79,4;90,5;106,8;111,8;72,7;114,1;82,2;62,8;124,1;65,6;44,3;70,6;39,7;51;63,5;87,2;83,6;84,7;81,7;91,8;65,8;116,9;67,2;123,6;114,3;75,8;90,5;82,1;85,2;71,9;96,2;109,4;127,4
Mar-03;78,5;89,7;107,7;130,4;71,3;118,8;81,6;61,3;125,6;63,6;42,6;68,4;38,3;46,5;66,5;85,7;83,1;84;80,9;86,4;59,8;118,2;63,8;128,4;113,1;74,9;92,4;80,8;81,4;69,7;94,1;111,1;129,1
